ID,MENU,PRICE,NAME,DESCRIPTION,KEY
297,1,6.5,A9. BEEF SATAY SKEWERS (3),"-Marinated with Thai spices and grilled, served with peanut sauce",A9 
298,1,7,A10. SHRIMP SATAY SKEWERS (2),"-Marinated with Thai spices and grilled, served with peanut sauce",A10
299,1,6,A11. CRISPY TIGER SHRIMPS (6),-Crispy breaded tiger shrimps,A11
300,1,7.5,A12. CRISPY CALAMARI,- Lightly seasoned crispy calamari,A12
301,1,5,A13. CRISPY TOFU,-Crispy marinated tofu,A13
302,1,6,A14. *CRISPY WONTON (8),"-Crispy marinated, stuffed chicken/ shrimp wontons",A14
303,1,8.5,A15. MUSSELS WITH BLACK BEAN SAUCE,#NAME?,A15
304,1,8,A16. CHICKEN WINGS (8),#NAME?,A16
305,6,0,P1. *House Special Rice Noodle Soup,,P1
306,6,8,A) Regular,,P1A 
307,6,9,B) Large,,P1B 
308,6,0,P2. House Special Satay Rice Noodle Soup,,P2
309,6,8,A) Regular,,P2A 
310,6,9,B) Large,,P2B 
311,6,0,P3. *Chicken Rice Noodle Soup,,P3
312,6,8,A) Regular,,P3A
313,6,9,B) Large,,P3B
314,6,0,"P4. Chicken, Well Done Beef Rice Noodle Soup ",,P4
315,6,8,A) Regular,,P4A
316,6,9,B) Large,,P4B
317,6,0,P5. *Rare Beef Rice Noodle Soup,,P5
318,6,8,A) Regular,,P5A
319,6,9,B) Large,,P5B
320,6,0,"P6. Rare Beef, Well Done Beef Rice Noodle Soup ",,P6
321,6,8,A) Regular,,P6A
322,6,9,B) Large,,P6B
323,6,0,"P7. Rare Beef, Tripe Rice Noodle Soup ",,P7
324,6,8,A) Regular,,P7A
325,6,9,B) Large,,P7B
326,6,0,"P8. Rare Beef, Beef Balls Rice Noodle Soup",,P8
327,6,8,A) Regular,,P8A
328,6,9,B) Large,,P8B
329,6,0,P9. Well Done Beef Rice Noodle Soup,,P9
330,6,8,A) Regular,,P9A
331,6,9,B) Large,,P9B
332,6,0,"P10. *Well Done Beef, Tripe Rice Noodle Soup ",,P10
333,6,8,A) Regular,,P10A
334,6,9,B) Large,,P10B
335,6,0,"P11. Well Done Beef, Beef Balls Rice Noodle Soup ",,P11
336,6,8,A) Regular,,P11A
337,6,9,B) Large,,P11B
338,6,0,"P12. Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ",,P12
339,6,8,A) Regular,,P12A
340,6,9,B) Large,,P12B
341,6,0,"P13. Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ",,P13
342,6,8,A) Regular,,P13A
343,6,9,B) Large,,P13B
344,6,0,P14. Beef Balls Rice Noodle Soup,,P14
345,6,8,A) Regular,,P14A
346,6,9,B) Large,,P14B
347,6,0,P15. Vegetable Rice Noodle Soup (Chicken Broth),,P15
348,6,8,A) Regular,,P15A
349,6,9,B) Large,,P15B
350,4,10,A) Beef ,,V7A 
351,4,10,B) Chicken,,V7B 
354,7,12,Zz2. *Sizzling Beef with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz2
357,7,13,Zz3. Sizzling Tiger Shrimp with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz3
360,7,13.5,Zz4. *Sizzling Seafood with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz4
365,11,12,F12. STIR FRIED LEMON GRASS WITH BEEF OR CHICKENandSPICY CHILI ,"Stir fried mixed peppers with onions, lemongrass and hot chili",F12
368,2,7.5,S3. *VEGGIE MANGO SALAD,"-Fresh shredded mango mixed w/ onions, red/ green peppers 
     and cashews tossed with tamarind vinaigrette
",S3
369,2,8,S4. *VIETNAMESE CABBAGE SALAD,"-Chicken tossed with cabbage, carrot, green onion and peanut in Vietnamese spicy dressing",S4
371,8,12,T9. THAI GINGER CHICKEN OR BEEF,Your choice of marinated chicken or beef sautéed in our sesame soy ginger sauce. Served with steam rice,T9
